F1		vMenu
F2		Noclip
F6		RadialMenu (Бинды)
F7		Пересесть
F10		Phone
F11		Анимации
DEL		Спавн транспорта

- 		Левый габарит
+ 		Правый габарит
Backspace 	Аварийный сигнал
Z		Список игроков
X		Поднять руки вверх / сбросить анимации
M		Лайки
K		Упасть
U		Полицейская стойка
Y		RadialMenu (Управление одеждой)
T		Общий чат

L		Достать рацию
E		Включить/отключить рацию
Tab		Включить рацию

]		Ползти
[		Присесть

PageUP		Лететь вверх
PageDown	Лететь вниз












